open,high,low,close,volume,vwap,timestamp,transactions,otc
243.36,244.18,241.89,243.36,40244114.0,243.0805,1735880400000,493786,
244.31,247.33,243.2,245.0,45045571.0,245.1726,1736139600000,493920,
242.98,245.55,241.35,242.21,40855960.0,242.9459,1736226000000,462887,
241.92,243.7123,240.05,242.7,37613940.0,242.2993,1736312400000,406915,
240.01,240.16,233.0,236.85,61705156.0,236.6063,1736485200000,685975,
233.53,234.67,229.72,234.4,49630725.0,232.7529,1736744400000,561231,
234.75,236.12,232.472,233.28,39433494.0,233.8732,1736830800000,436332,
234.635,238.96,234.43,237.87,39822169.0,237.58,1736917200000,418803,
237.35,238.01,228.03,228.26,71752652.0,230.4964,1737003600000,786111,
232.115,232.29,228.48,229.98,67849101.0,230.4618,1737090000000,579300,
224.0,224.42,219.38,222.64,98070429.0,221.6956,1737435600000,1220197,
219.79,224.12,219.79,223.83,64126500.0,222.8221,1737522000000,683037,
224.74,227.03,222.3,223.66,60234760.0,224.1093,1737608400000,619806,
224.78,225.63,221.41,222.78,54697907.0,223.1447,1737694800000,579473,
224.02,232.15,223.98,229.86,94863418.0,228.8379,1737954000000,1008209,
230.85,240.19,230.81,238.26,75682044.0,237.4839,1738040400000,788816,
234.12,239.855,234.01,239.36,45475767.0,237.4858,1738126800000,515212,
238.665,240.79,237.21,237.59,55658279.0,238.9601,1738213200000,636380,
247.19,247.19,233.44,236.0,101071628.0,238.5565,1738299600000,936709,
229.99,231.83,225.7,228.01,73039761.0,228.3037,1738558800000,851633,
227.25,233.13,226.65,232.8,45014201.0,231.2132,1738645200000,497327,
228.53,232.67,228.27,232.47,39664989.0,230.8247,1738731600000,445631,
231.285,233.8,230.425,233.22,29869249.0,232.4036,1738818000000,375400,
232.6,234.0,227.26,227.63,39707224.0,229.1297,1738904400000,488184,
229.57,230.585,227.2,227.65,33096475.0,228.45,1739163600000,398258,
228.2,235.23,228.13,232.62,53710612.0,232.4505,1739250000000,552126,
231.2,236.96,230.68,236.87,45243281.0,235.0413,1739336400000,486474,
236.91,242.3399,235.57,241.53,53614054.0,240.3233,1739422800000,531132,
241.25,245.55,240.99,244.6,40383927.0,244.0715,1739509200000,481731,
244.15,245.18,241.84,244.47,48822491.0,244.1423,1739854800000,486720,
244.66,246.01,243.1604,244.87,32204215.0,244.6863,1739941200000,383453,
244.94,246.78,244.29,245.83,32316907.0,245.6383,1740027600000,405771,
245.95,248.69,245.22,245.55,53196141.0,246.3756,1740114000000,508397,
244.925,248.86,244.42,247.1,51326396.0,247.2414,1740373200000,593130,
248.0,250.0,244.91,247.04,48013272.0,247.4765,1740459600000,574045,
